2MASS J1645-4521       ;Sco  ;16 45 44.6 -45 21 51 ;IR   ;EC?  ;    1.30;      ;       ;                                                       ;
LMR 76                 ;Aql  ;18 57 06.6 +01 19 26 ;IR   ;SFR  ;    6.30; 10800;       ;                                                       ;
LMR 77                 ;Aql  ;18 56 50.5 +01 39 27 ;IR   ;SFR  ;    5.40; 10800;       ;Russeil 70                                             ;
LMR 8                  ;Sgr  ;17 48 20.0 -27 43 41 ;IR   ;OB   ;    2.70; 12000;       ;                                                       ;
LMR 81                 ;Aql  ;19 06 19.3 +07 08 33 ;IR   ;SFR  ;   16.60;  9100;       ;Russeil 82                                             ;
LMR 83                 ;Aql  ;19 07 05.0 +07 38 42 ;IR   ;EC   ;    1.60; 11700;       ;Russeil 83                                             ;In HII reg WISE G41.51+0.02
LMR 84                 ;Aql  ;19 08 28.2 +07 58 58 ;IR   ;SFR  ;    6.10; 11600;       ;Russeil 84                                             ;
LMR 85                 ;Aql  ;19 09 57.8 +07 50 17 ;IR   ;SFR  ;   11.80;  8300;       ;                                                       ;
LMR 86                 ;Aql  ;19 07 59.0 +08 18 40 ;IR   ;SFR  ;    9.70;  9000;       ;                                                       ;
LMR 87                 ;Aql  ;19 10 20.0 +08 28 48 ;IR   ;SFR  ;   16.50;  8200;       ;                                                       ;
LMR 88                 ;Aql  ;19 10 13.4 +09 01 55 ;IR   ;SFR  ;   11.70; 11900;   6.18;Russeil 85                                             ;
LMR 89                 ;Aql  ;19 13 20.7 +09 07 30 ;IR   ;SFR  ;   24.90;  8800;       ;                                                       ;
LMR 9                  ;Sgr  ;17 50 02.0 -26 52 24 ;IR   ;OC   ;    3.60;  9000;       ;                                                       ;
LMR 90                 ;Aql  ;19 11 59.8 +10 03 30 ;IR   ;SFR  ;    6.50;  8300;       ;                                                       ;
LMR 91                 ;Aql  ;19 15 06.8 +10 19 26 ;IR   ;SFR  ;    4.70;  9300;       ;                                                       ;
LMR 92                 ;Aql  ;19 15 48.6 +10 27 23 ;IR   ;SFR  ;    8.40;  6000;       ;                                                       ;
LMR 93                 ;Aql  ;19 14 09.2 +10 56 48 ;IR   ;SFR  ;   27.40;  8300;       ;                                                       ;
LMR 94                 ;Aql  ;19 22 12.6 +14 40 06 ;IR   ;SFR  ;   44.70;  5900;       ;                                                       ;
LMR 95                 ;Aql  ;19 24 58.2 +16 02 31 ;IR   ;SFR  ;   13.30;  7800;       ;                                                       ;
LMR 96                 ;Sge  ;19 25 22.0 +17 09 06 ;IR   ;OB   ;   25.00;  5250;       ;                                                       ;
LMR 97                 ;Sge  ;19 29 37.0 +17 15 30 ;IR   ;OB   ;   29.00;  5200;       ;                                                       ;
LMR 98                 ;Sge  ;19 28 46.0 +17 57 10 ;IR   ;OB   ;    8.10;  5100;       ;                                                       ;
LMR 99                 ;Sge  ;19 32 04.0 +19 02 36 ;IR   ;OB   ;   59.00;  4950;       ;                                                       ;
LSS 2063 Assoc         ;Car  ;10 58 43.4 -61 10 40 ;Op   ;OB   ;    6.00;  7000;       ;DBSB 57, Majaess 133                                   ;ArXiv:1610.07609v1
La Serena 1            ;Cen  ;11 39 13.1 -63 29 04 ;IR   ;OC?  ;    0.50;      ;       ;IRAS 11368-6312                                        ;
La Serena 101          ;Cen  ;13 43 41.9 -62 02 42 ;IR   ;OC?  ;    0.33;      ;       ;IRAS 13402-6147                                        ;
La Serena 102          ;Cen  ;13 44 38.8 -62 05 36 ;IR   ;OC?  ;    0.70;      ;       ;                                                       ;
La Serena 104          ;Cen  ;13 47 26.2 -62 16 49 ;IR   ;OC?  ;    0.85;      ;       ;IRAS 13439-6201                                        ;
La Serena 105          ;Cen  ;13 47 29.5 -62 48 04 ;IR   ;OC?  ;    1.40;      ;       ;IRAS 13439-6233                                        ;
La Serena 107          ;Cen  ;13 48 03.7 -62 15 25 ;IR   ;OC?  ;    0.50;      ;       ;IRAS 13445-6200                                        ;
La Serena 11           ;Cen  ;11 50 13.2 -62 08 45 ;IR   ;OC?  ;    0.90;      ;       ;IRAS 11478-6152                                        ;
La Serena 113          ;Cen  ;13 50 00.5 -62 50 34 ;IR   ;OC?  ;    1.20;      ;       ;                                                       ;
La Serena 116          ;Cen  ;13 51 02.4 -61 30 16 ;IR   ;OC?  ;    0.70;      ;       ;IRAS 13475-6115                                        ;
La Serena 120          ;Cen  ;13 53 23.1 -62 14 11 ;IR   ;OC?  ;    0.35;      ;       ;IRAS 13497-6159                                        ;
La Serena 121          ;Cen  ;13 54 14.8 -62 14 03 ;IR   ;OC?  ;    0.95;      ;       ;IRAS 13507-6159                                        ;
La Serena 122          ;Cen  ;13 56 00.9 -62 13 59 ;IR   ;OC?  ;    0.50;      ;       ;IRAS 13524-6159                                        ;
La Serena 123          ;Cen  ;13 57 57.3 -61 36 42 ;IR   ;OC?  ;    0.45;      ;       ;IRAS 13543-6121                                        ;
La Serena 126          ;Cen  ;13 59 21.8 -61 06 37 ;IR   ;OC?  ;    0.25;      ;       ;                                                       ;
La Serena 128          ;Cen  ;13 59 36.6 -61 48 13 ;IR   ;OC?  ;    0.50;      ;       ;IRAS 13560-6133                                        ;
La Serena 129          ;Cen  ;13 59 40.0 -61 59 36 ;IR   ;OC?  ;    0.30;      ;       ;IRAS 13560-6144                                        ;
La Serena 13           ;Cen  ;11 53 13.0 -62 30 19 ;IR   ;OC?  ;    1.00;      ;       ;                                                       ;
La Serena 130          ;Cen  ;13 59 56.9 -61 24 34 ;IR   ;OC?  ;    0.40;      ;       ;IRAS 13563-6109                                        ;
La Serena 131          ;Cen  ;14 02 08.3 -61 48 27 ;IR   ;OC?  ;    0.40;      ;       ;                                                       ;
La Serena 134          ;Cen  ;14 04 07.8 -61 31 11 ;IR   ;OC?  ;    0.50;      ;       ;                                                       ;
La Serena 135          ;Cen  ;14 04 34.4 -61 12 27 ;IR   ;OC?  ;    0.60;      ;       ;                                                       ;
La Serena 137          ;Cen  ;14 05 24.1 -62 01 56 ;IR   ;OC?  ;    0.35;      ;       ;                                                       ;
La Serena 138          ;Cen  ;14 05 46.6 -62 04 54 ;IR   ;OC?  ;    0.20;      ;       ;                                                       ;
La Serena 140          ;Cen  ;14 06 31.0 -62 05 44 ;IR   ;OC?  ;    0.50;      ;       ;IRAS 14028-6151                                        ;
La Serena 141          ;Cen  ;14 06 41.3 -62 11 27 ;IR   ;OC?  ;    0.50;      ;       ;IRAS 14030-6157                                        ;
La Serena 142          ;Cen  ;14 06 44.9 -61 29 10 ;IR   ;OC?  ;    0.35;      ;       ;                                                       ;
La Serena 143          ;Cen  ;14 06 58.1 -62 13 48 ;IR   ;OC?  ;    0.25;      ;       ;IRAS 14032-6158                                        ;
La Serena 145          ;Cen  ;14 07 53.0 -61 52 22 ;IR   ;OC?  ;    0.40;      ;       ;                                                       ;
La Serena 146          ;Cen  ;14 12 45.6 -61 07 13 ;IR   ;OC?  ;    0.80;      ;       ;IRAS 14090-6052                                        ;
La Serena 149          ;Cen  ;14 14 37.6 -61 48 14 ;IR   ;OC?  ;    0.50;      ;       ;IRAS 14109-6134                                        ;
La Serena 150          ;Cen  ;14 16 25.2 -61 57 30 ;IR   ;OC?  ;    0.40;      ;       ;IRAS 14127-6143                                        ;
La Serena 151          ;Cen  ;14 16 46.7 -61 40 36 ;IR   ;OC?  ;    0.50;      ;       ;IRAS 14131-6126                                        ;
La Serena 156          ;Cen  ;14 23 23.4 -61 10 11 ;IR   ;OC?  ;    0.40;      ;       ;IRAS 14196-6056                                        ;
La Serena 157          ;Cen  ;14 23 53.3 -60 57 42 ;IR   ;OC?  ;    0.90;      ;       ;IRAS 14201-6044                                        ;
La Serena 158          ;Cen  ;14 24 12.9 -60 19 55 ;IR   ;OC?  ;    0.50;      ;       ;IRAS 14205-6006                                        ;
La Serena 159          ;Cen  ;14 24 18.2 -60 22 41 ;IR   ;OC?  ;    0.30;      ;       ;                                                       ;
La Serena 164          ;Cen  ;14 25 15.1 -60 32 48 ;IR   ;OC?  ;    0.25;      ;       ;                                                       ;
La Serena 166          ;Cen  ;14 32 47.7 -60 35 12 ;IR   ;OC?  ;    0.40;      ;       ;IRAS 14290-6022                                        ;
La Serena 168          ;Cen  ;14 41 16.6 -60 39 21 ;IR   ;OC?  ;    0.50;      ;       ;                                                       ;
La Serena 169          ;Cir  ;14 43 09.4 -59 03 01 ;IR   ;OC   ;    1.00;  3200;       ;                                                       ;
La Serena 177          ;Cir  ;14 48 25.8 -59 31 13 ;IR   ;OC?  ;    0.50;  3800;       ;                                                       ;Dist value is uncertain: based on only 3*
La Serena 179          ;Cir  ;14 51 11.4 -59 16 58 ;IR   ;OC?  ;    0.35;  3090;       ;IRAS 14473-5904                                        ;Dist from Hou+ 14
La Serena 183          ;Cir  ;14 52 05.7 -59 10 13 ;IR   ;EC?  ;    0.70; 12300;       ;                                                       ;Dist from Urquhart
La Serena 198          ;Cir  ;15 09 42.3 -57 16 53 ;IR   ;OC?  ;    0.55;  3600;       ;IRAS 15058-5705                                        ;Dist from Urquhart+ 2018
La Serena 2            ;Cen  ;11 39 22.6 -63 28 11 ;IR   ;OC?  ;    1.10;      ;       ;                                                       ;
La Serena 201          ;Cir  ;15 10 36.6 -58 23 49 ;IR   ;OC?  ;    0.55;  4500;       ;IRAS 15067-5812                                        ;Dist from Anderson+ 2014
La Serena 202          ;Cir  ;15 10 59.7 -57 42 43 ;IR   ;OC   ;    1.30;  2980;       ;                                                       ;
La Serena 203          ;Cir  ;15 11 08.6 -59 06 48 ;IR   ;OC?  ;    0.90;  3000;       ;IRAS 15072-5855                                        ;Dist from Beltran+ 06
La Serena 208          ;Cir  ;15 17 23.0 -57 51 08 ;IR   ;OC   ;    1.20;  2330;       ;                                                       ;
La Serena 213          ;Cir  ;15 20 07.0 -55 36 12 ;IR   ;OC?  ;    0.60;  2400;       ;IRAS 15163-5525                                        ;
La Serena 217          ;Cir  ;15 23 53.6 -56 50 19 ;IR   ;OC?  ;    0.60;  1596;       ;                                                       ;Dist value is uncertain: based on only 3*
La Serena 221          ;Cir  ;15 28 54.6 -56 32 38 ;IR   ;OC?  ;    0.35;  4400;       ;IRAS 15250-5622                                        ;
La Serena 223          ;Nor  ;15 30 03.7 -55 52 11 ;IR   ;OC?  ;    0.60;      ;       ;IRAS 15262-5541                                        ;
La Serena 224          ;Nor  ;15 30 50.2 -56 42 18 ;IR   ;OC?  ;    0.50;      ;       ;IRAS 15269-5632, Bica 501                              ;
La Serena 225          ;Nor  ;15 31 05.1 -55 43 39 ;IR   ;OC?  ;    0.25;      ;       ;IRAS 15272-5533                                        ;
La Serena 226          ;Nor  ;15 31 22.8 -55 41 46 ;IR   ;OC?  ;    0.50;      ;       ;                                                       ;
La Serena 227          ;Nor  ;15 31 36.7 -55 42 49 ;IR   ;OC?  ;    0.50;      ;       ;IRAS 15277-5532                                        ;
La Serena 232          ;Nor  ;15 37 23.2 -56 01 56 ;IR   ;OC?  ;    0.55;      ;       ;IRAS 15335-5552                                        ;
La Serena 233          ;Nor  ;15 38 33.9 -55 28 00 ;IR   ;OC?  ;    0.65;      ;       ;IRAS 15347-5518                                        ;
La Serena 234          ;Nor  ;15 39 58.8 -56 04 11 ;IR   ;OC?  ;    0.15;      ;       ;IRAS 15360-5554                                        ;
La Serena 235          ;Nor  ;15 39 58.3 -54 01 30 ;IR   ;OC?  ;    0.40;      ;       ;IRAS 15362-5351                                        ;
La Serena 236          ;Nor  ;15 40 11.6 -55 23 07 ;IR   ;OC?  ;    0.80;      ;       ;                                                       ;
La Serena 239          ;Nor  ;15 42 40.4 -54 00 02 ;IR   ;OC?  ;    0.60;      ;       ;                                                       ;
La Serena 240          ;Nor  ;15 42 44.9 -54 10 50 ;IR   ;OC?  ;    0.65;      ;       ;IRAS 15389-5401                                        ;
